Compound_name_in_figures,Complete_compound_name,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
4-Hydroxyisoleucine,Hydroxyisoleucine,0.895790464,1.712766171,1.543043957,1.597369597,2.109627207,1.903268638,3.053930002,2.22876638,1.226376708,2.650425469,0.798581022,1.642645983,1.262906229,1.686581138,1.677400904,2.112814154,2.333329733,1.533394307,1.469428996,1.350668167,0.997868057,0.829564703,1.059513825,0.961699633,1.614250108,2.830725011,1.14252529,0.89223874,1.32989485,1.549765044,1.580891977,1.635586837,1.250227152,2.056179091,1.860692065,0.795576363
Acetyl-L-carnitine,O-Acetylcarnitine,0.004709958,0.004584181,0.004504844,0.00329432,0.004035769,0.002588154,0.00329197,0.004199676,0.003245797,0.003108333,0.001862967,0.003249714,0.002241902,0.002521525,0.00246303,0.003644394,0.003485247,0.002746124,0.003200748,0.009978301,0.003748627,0.003547173,0.007932112,0.006033367,0.012922979,0.021153173,0.003105764,0.003218294,0.005892221,0.01227916,0.01117698,0.006180152,0.004780802,0.008144462,0.007254681,0.002775281
Adenine,Adenine,0.0371853,0.037708398,0.115723338,0.030408757,0.027464778,0.041087999,0.126530395,0.055857987,0.018288367,0.013207544,0.024856973,0.027465831,0.016647894,0.025197328,0.040740366,0.049507775,0.046857624,0.024786422,0.029149129,0.045730931,0.025908405,0.06993785,0.049064129,0.039651176,0.039146411,0.087351686,0.025715497,0.047199286,0.037774323,0.119794183,0.094246733,0.071621722,0.035809047,0.12109473,0.065880006,0.089757068
Adenosine,Adenosine,0.107978317,0.182157404,0.21330557,0.12133034,0.084456445,0.137178225,0.20235521,0.210316463,0.010261611,0.023139125,0.030461914,0.080507776,0.049102532,0.037228376,0.036756722,0.153104951,0.047901627,0.099304842,0.058292129,0.115835271,0.121821937,0.121130889,0.136409011,0.119251302,0.07261736,0.207823503,0.100163235,0.081093653,0.136180797,0.244425746,0.256752699,0.10326882,0.150092325,0.26752439,0.114816706,0.102047836
SAH,S-Adenosylhomocysteine,0.000559042,0.000708294,3.59713E-05,0.000275448,0.000549853,NA,NA,4.71906E-05,0.000149428,6.04787E-05,NA,0.000161615,0.000261411,0.000521205,0.000408633,0.000845042,0.000523305,0.000645611,NA,0.000884132,0.000805579,0.000330301,0.002220667,0.00180285,0.000973831,0.001808327,0.000819319,0.000513848,0.000773531,0.000422788,0.000212355,0.000522015,0.000357459,0.00033959,9.57711E-05,NA
SAM,S-Adenosylmethionine,0.013831175,0.038286195,0.012445981,0.012482001,0.009243487,0.01133023,0.005951867,0.004311506,0.006058791,0.00315024,0.002706811,0.004371175,0.006766545,0.021085242,0.01386298,0.024702222,0.019225247,0.085403027,0.005364166,0.016714584,0.073728688,0.007229049,0.025787126,0.016110537,0.038131431,0.094832076,0.078659066,0.022570083,0.193501842,0.036759278,0.015350833,0.030717436,0.051649155,0.030659316,0.042266243,0.011170875
Agmatine,Agmatine,0.00015902,0.000127885,0.000787908,0.000114663,0.000282016,6.47307E-05,0.00056252,0.000577811,0.000256648,0.000232972,0.000307577,0.000422916,0.000367256,0.000380246,0.000690825,9.87879E-05,0.000750528,0.000420023,0.000673739,0.000127964,6.41376E-05,0.00010183,3.65383E-05,0.000247824,0.000238794,0.000809607,6.27815E-05,0.000309241,0.000452972,0.00070553,0.000922941,0.000503083,0.00018125,0.000764183,0.000315728,0.000350041
Alanine,L-Alanine,0.477569743,0.440114678,0.351732681,0.198154504,0.337297762,0.402867088,1.115381659,0.386925394,0.260557962,0.27295978,0,0,0,0.221243651,0.288518978,0.423004804,0.258071256,0.364959477,0.280870535,0.946681427,0.387779438,0.59208014,0.989196379,0.593151754,0.534082306,0.648904271,0.284304451,0.272815086,0.376954782,0.79224766,0.854133931,0.576802739,0.458260831,0.575295895,0.519002397,0.241088922
Allopurinol,Allopurinol,0.00970687,0.013035797,0.01542679,0.005500098,0.004154039,0.002283114,0.010719719,0.002294042,0.002045929,0.001972071,0.001520678,0.001523192,0.0038778,0.004294797,0.002128038,0.00483995,0.003319689,0.003428191,0.005407352,0.007965902,0.005607405,0.007024562,0.012741864,0.006475838,0.003598518,0.00907475,0.00099035,0.001443907,0.018205328,0.023330997,0.021228603,0.005851584,0.004363054,0.029275741,0.005294988,0.002290978
3-Aminopropanesulfonate,3-Aminopropanesulfonate,0.018059922,0.004909815,0.014741145,0.01067987,0.002082539,0.001092097,0.011886415,0.01975099,0.013090108,0.011541506,0.008984407,0.02216187,0.014614587,0.006305309,0.005579235,0.012334566,0.015556097,0.004908075,0.016786902,0.050874995,0.016201906,0.017524734,0.035883827,0.023911719,0.015309889,0.040587254,0.001322227,0.007893368,0.018448969,0.044124354,0.047463326,0.027906314,0.005973928,0.012910723,0.016660741,0.004455044
AMP,Adenosine monophosphate,0.045005591,0.02456355,0.044883223,0.031063175,0.045848243,0,0.006283009,0.017582665,0.062819756,0.063407885,0.037191907,0.073334696,0.054070603,0.082155958,0.136049224,0.085285981,0.143004228,0.042361954,0.090623219,0.211610778,0.060850828,0.074628948,0.213338669,0.11567714,0.187056134,0.268536253,0.080761559,0.107386482,0.09386552,0.112504302,0.172950338,0.115551392,0.070430864,0.101678012,0.147746221,0.052609322
Arginine,L-Arginine,0.347508568,0.334964121,0.338503661,0.132671869,0.166600643,0.230681618,0.369582257,0.240753479,0.124489302,0.098493024,0.111124707,0.140606283,0.1000362,0.150083341,0.198420447,0.262796897,0.224066662,0.18836527,0.300236888,0.843746427,0.482331576,0.616483632,0.563799832,0.309567808,0.27563918,0.312308496,0.22509541,0.165034563,0.598149455,0.619101334,1.368197321,0.378045971,0.507566295,0.47838134,0.437859095,0.199117655
Argininosuccinate,L-Arginosuccinic acid,NA,0.000322434,NA,0.000464978,0.000200451,0.000398992,NA,NA,0.000286463,NA,NA,NA,NA,9.09853E-05,0.000225159,0.001529157,NA,0.0002424,NA,0.000584709,0.000819861,0.000407402,NA,NA,NA,0.000814273,0.000366146,NA,0.002281244,0.001106747,0.000312204,0.00100686,0.001751409,0.002376069,0.007143264,NA
Arsenobetaine,Arsenobetaine,0.001809125,0.002527703,0.002799849,0.006841105,0.006931623,0.008279625,0.008073841,0.008153054,0.007821498,0.005991184,0.004469569,0.006188874,0.004844786,0.005572215,0.003907326,0.00361136,0.004031931,0.003880146,0.004327266,0.001824787,0.001700015,0.001697653,0.002228689,0.001849791,0.003777612,0.004808116,0.002315828,0.002232167,0.002626219,0.003175552,0.002557392,0.002976386,0.003082069,0.003403296,0.004277173,0.002547639
Asparagine,L-Asparagine,0.045030076,0.093425313,0.071153073,0.036770263,0.062825179,0.078601117,0.067445592,0.044823299,0.038341209,0.049888658,0.024515063,0.036388615,0.018949188,0.051668406,0.069742893,0.075544182,0.043702497,0.061128842,0.035636894,0.082011116,0.077335118,0.052092112,0.075261547,0.034274417,0.087720923,0.105043662,0.088922737,0.067968567,0.100104681,0.09648458,0.068628156,0.046443203,0.086377606,0.092312846,0.078602466,0.047583832
Aspartic acid,L-Aspartic acid,0.303097999,0.420651142,0.531873258,0.328962354,0.310279781,0.545692454,0.4756369,0.465543092,0.359340933,0.404700549,0.317688637,0.250612867,0.234620548,0.401410273,0.47246443,0.432714411,0.396110351,0.570898544,0.38094762,0.502667199,0.474554727,0.390981584,0.529454424,0.360510758,0.692409216,1.075992641,0.654888168,0.611050245,0.702177951,0.749860309,0.466750883,0.475434402,0.474951332,0.687446737,0.735551194,0.437567553
b-Alanine,beta-Alanine,0.151904057,0.135946403,0.110873143,0.051724527,0.059887141,0.046608378,0.459095602,0.034056558,0.051268431,0.07154269,0.023897311,0.038644499,0.027238681,0.054129287,0.162661188,0.190730412,0.125348796,0.132866031,0.095154759,0.265164142,0.15851598,0.119714634,0.614368815,0.225568873,0.177163182,0.241617606,0.1715269,0.164625622,0.222307699,0.188836883,0.13846004,0.130061453,0.207764191,0.329725195,0.192351784,0.14638353
b-Glutamic acid,beta-Glutamic acid,0.041046549,0.100436512,0.141817058,0.033793063,0.047308991,0.052237489,0.030598295,0.041059199,0.039899111,0.046230395,0.034017948,0.02474603,0.018006241,0.021605336,0.147875763,0.150504593,0.119521653,0.080906158,0.179644432,0.043034027,0.037636585,0.029676392,0.066390735,0.036904912,0.135892361,0.181198662,0.083629265,0.059232821,0.1045692,0.087967528,0.042417503,0.075882797,0.125400994,0.162341089,0.139453828,0.093711884
