Sample_ID,Binned_latitude,Time_UTC,NO3_NO2,PO4,PC_nM,PN_nM
S2C3_A,23.5362828,2016-4-21T01:22:00,0.00125,0.0535,1860,270
S4C1_A,28.142192,2016-4-22T15:08:00,0.00138,0.0449,2540,320
S4C1_B,28.142192,2016-4-22T15:08:00,0.00138,0.0449,2540,320
S4C1_C,28.142192,2016-4-22T15:08:00,0.00138,0.0449,2540,320
S4C2_A,28.142192,2016-4-23T01:57:00,0.00138,0.0449,2540,320
S4C2_B,28.142192,2016-4-23T01:57:00,0.00138,0.0449,2540,320
S6C1_A,32.6301102,2016-4-24T15:09:00,0.00283,0.0704,4270,750
S6C1_B,32.6301102,2016-4-24T15:09:00,0.00283,0.0704,4270,750
S6C1_C,32.6301102,2016-4-24T15:09:00,0.00283,0.0704,4270,750
S6C2_A,32.6301102,2016-4-25T01:33:00,0.00283,0.0704,4270,750
S6C2_B,32.6301102,2016-4-25T01:33:00,0.00283,0.0704,4270,750
U3_A,34.533075,2016-4-25T19:45:00,2.32268,0.2189,4450,780
U3_B,34.533075,2016-4-25T19:45:00,2.32268,0.2189,4450,780
U4_A,35.493484,2016-4-26T02:33:00,4.26584,0.3582,5140,920
U4_B,35.493484,2016-4-26T02:33:00,4.26584,0.3582,5140,920
S8C1_A,37.299396,2016-4-26T15:10:00,5.87472,0.4846,5560,990
S9C1_A,36.43546514,2016-4-27T15:12:00,5.67690,0.5065,5350,960
S9C1_B,36.43546514,2016-4-27T15:12:00,5.67690,0.5065,5350,960
S9C2_A,36.43546514,2016-4-28T03:43:00,5.67690,0.5065,5350,960
S9C2_B,36.43546514,2016-4-28T03:43:00,5.67690,0.5065,5350,960
S11C1_A,36.43546514,2016-4-29T06:40:00,5.76375,0.5133,5350,960
U6_A,36.43546514,2016-4-29T10:00:00,5.76375,0.5133,5350,960
U6_B,36.43546514,2016-4-29T10:00:00,5.76375,0.5133,5350,960
U7_A,36.43546514,2016-4-29T11:14:00,5.76375,0.5133,5350,960
U7_B,36.43546514,2016-4-29T11:14:00,5.76375,0.5133,5350,960
U8_A,36.43546514,2016-4-29T12:15:00,5.76375,0.5133,5350,960
U8_B,36.43546514,2016-4-29T12:15:00,5.76375,0.5133,5350,960
U9_A,36.43546514,2016-4-29T13:19:00,5.76375,0.5133,5350,960
U9_B,36.43546514,2016-4-29T13:19:00,5.76375,0.5133,5350,960
S12C1_A,33.090833,2016-4-30T15:05:00,0.99961,0.1309,4270,750
S12C1_B,33.090833,2016-4-30T15:05:00,0.99961,0.1309,4270,750
S13C1_A,29.700608,2016-5-01T15:02:00,0.00784,0.0238,2540,370
S13C1_B,29.700608,2016-5-01T15:02:00,0.00784,0.0238,2540,370
S14C1_A,26.283176,2016-5-01T15:02:00,0.00180,0.0251,2290,320
S14C1_B,26.283176,2016-5-01T15:02:00,0.00180,0.0251,2290,320
S14C1_C,26.283176,2016-5-01T15:02:00,0.00180,0.0251,2290,320
